                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.84998,                 6.3497,                0.39558,                0.76343,                 1.0461,                 0.6813,                0.75413,                0.65696,                0.41225,                0.14603,                 0.1181,                0.03746,                0.00518,                 1.3437,                 7.0983,                0.44383,                0.97705,                 1.2081,             0.00049802,             0.00049802,             0.00049802
                     87,                0.84403,                 6.3401,                0.39506,                0.75966,                 1.0459,                0.69167,                0.75613,                0.65439,                0.41278,                0.11918,                 0.1273,                0.03465,                0.00501,                  1.355,                 7.0558,                0.44429,                0.97973,                 1.2151,             0.00048426,             0.00048426,             0.00048426
                     88,                0.84014,                 6.3105,                0.39385,                0.75925,                 1.0353,                0.68414,                0.77403,                0.66395,                0.41162,                0.14701,                0.10276,                0.03402,                0.00501,                 1.3601,                 7.0265,                0.44392,                0.96985,                 1.2196,             0.00047051,             0.00047051,             0.00047051
                     89,                0.83678,                 6.2984,                0.39428,                0.74823,                 1.0411,                0.69784,                0.71933,                0.64553,                0.39721,                0.13563,                 0.1135,                0.03333,                0.00475,                 1.3661,                 7.0821,                0.44582,                0.98038,                 1.2437,             0.00045676,             0.00045676,             0.00045676
                     90,                0.84516,                 6.3419,                0.39516,                0.76934,                 1.0426,                0.70488,                0.74731,                0.65536,                0.40597,                0.13086,                0.10583,                0.03064,                 0.0047,                 1.3447,                 7.0561,                0.44645,                0.98071,                 1.2279,             0.00044301,             0.00044301,             0.00044301
                     91,                0.82956,                 6.3247,                0.39556,                0.75161,                 1.0337,                0.69728,                0.74233,                0.64821,                0.40807,                0.13675,                 0.1089,                0.03494,                0.00495,                 1.3546,                 7.0869,                0.44398,                0.99207,                 1.2216,             0.00042925,             0.00042925,             0.00042925
                     92,                0.82827,                 6.2814,                0.39523,                0.75677,                 1.0373,                0.70184,                   0.75,                0.66752,                0.41961,                0.14934,                0.10205,                0.03297,                0.00486,                 1.3188,                 7.0202,                  0.441,                0.94684,                  1.204,              0.0004155,              0.0004155,              0.0004155
                     93,                0.82053,                 6.2244,                0.39322,                0.72474,                 1.0339,                0.68456,                0.76554,                0.67053,                0.42125,                0.13144,                0.10276,                  0.031,                 0.0046,                 1.3407,                 7.0176,                0.43914,                0.95105,                 1.2177,             0.00040175,             0.00040175,             0.00040175
                     94,                0.81662,                 6.2747,                0.39722,                0.75189,                 1.0323,                0.68629,                0.75159,                0.65478,                0.41544,                0.15827,                0.11656,                0.03921,                0.00549,                 1.3408,                 7.0268,                0.44226,                0.97744,                 1.2202,             0.00038799,             0.00038799,             0.00038799
                     95,                0.81152,                 6.2319,                0.39302,                0.73593,                 1.0306,                0.69782,                0.75153,                0.65375,                0.40966,                0.14853,                0.11656,                0.03551,                0.00485,                 1.3441,                 7.0487,                0.44307,                0.97819,                 1.2177,             0.00037424,             0.00037424,             0.00037424
                     96,                0.81731,                 6.2812,                 0.3936,                0.74857,                 1.0343,                0.70165,                0.74666,                0.65337,                0.41651,                0.13577,                0.11043,                0.03395,                0.00487,                  1.319,                 7.0526,                0.43876,                0.95751,                 1.2011,             0.00036049,             0.00036049,             0.00036049
                     97,                0.80784,                 6.1967,                 0.3907,                0.73932,                 1.0276,                0.69005,                0.74693,                0.65771,                0.41974,                0.13537,                0.11963,                0.04075,                0.00552,                 1.3221,                 7.0624,                0.44096,                0.97665,                 1.2088,             0.00034674,             0.00034674,             0.00034674
                     98,                0.81048,                 6.2536,                0.39345,                0.75603,                 1.0297,                0.67925,                0.75677,                0.65341,                0.41251,                0.13776,                0.09663,                 0.0331,                0.00486,                 1.3349,                 7.0649,                 0.4416,                0.99526,                 1.2178,             0.00033298,             0.00033298,             0.00033298
                     99,                0.81195,                 6.2452,                0.39468,                0.72975,                   1.03,                 0.7123,                0.73313,                0.65226,                0.41502,                0.13769,                 0.1089,                0.03665,                0.00501,                 1.3285,                 7.0339,                0.44343,                0.97013,                 1.2087,             0.00031923,             0.00031923,             0.00031923
                    100,                0.79943,                 6.2234,                0.39383,                0.74478,                 1.0251,                0.69507,                0.75865,                  0.649,                0.41259,                0.15034,                0.11196,                0.04013,                0.00545,                 1.3364,                  7.014,                0.44242,                0.98398,                 1.2209,             0.00030548,             0.00030548,             0.00030548
                    101,                0.80428,                 6.2411,                0.39377,                0.73841,                 1.0301,                0.69669,                0.75038,                 0.6431,                0.40856,                0.15941,                 0.1089,                0.04288,                0.00561,                 1.3437,                 7.0278,                0.44468,                0.99854,                 1.2249,             0.00029172,             0.00029172,             0.00029172
                    102,                0.80603,                 6.2053,                0.39072,                0.72815,                 1.0275,                0.70035,                0.75153,                0.64493,                 0.4075,                0.13644,                 0.1089,                0.03842,                0.00512,                 1.3355,                 7.0364,                0.44325,                0.98471,                 1.2154,             0.00027797,             0.00027797,             0.00027797
                    103,                0.79243,                 6.2086,                 0.3922,                 0.7278,                 1.0257,                0.70577,                0.74233,                0.64718,                0.41043,                 0.1328,                0.10429,                0.03683,                0.00513,                 1.3379,                 7.0169,                0.44213,                0.98413,                 1.2253,             0.00026422,             0.00026422,             0.00026422
                    104,                0.78415,                  6.172,                0.39504,                0.72001,                 1.0185,                0.69385,                0.74734,                0.64904,                0.41048,                 0.1311,                 0.1089,                0.03542,                0.00532,                 1.3374,                 7.0226,                0.44273,                0.99276,                 1.2251,             0.00025047,             0.00025047,             0.00025047
                    105,                0.79018,                 6.2122,                0.39427,                0.73227,                 1.0244,                0.68745,                 0.7454,                0.64241,                0.40732,                0.15124,                0.10583,                0.03751,                0.00554,                 1.3438,                 7.0493,                0.44405,                0.98968,                 1.2367,             0.00023671,             0.00023671,             0.00023671
                    106,                0.78082,                 6.1821,                0.38789,                0.73103,                 1.0154,                0.68779,                0.73926,                0.64714,                0.41311,                0.15018,                 0.1089,                0.03563,                0.00501,                 1.3386,                  7.033,                 0.4426,                0.99805,                 1.2279,             0.00022296,             0.00022296,             0.00022296
                    107,                0.76994,                 6.1293,                 0.3924,                0.70921,                 1.0146,                0.70036,                0.72415,                0.64481,                 0.4117,                0.13406,                0.10429,                0.03172,                0.00459,                 1.3296,                 7.0059,                0.44006,                0.99493,                 1.2269,             0.00020921,             0.00020921,             0.00020921
                    108,                0.77185,                 6.1356,                0.39137,                 0.7158,                 1.0137,                0.70023,                 0.7316,                0.64765,                 0.4099,                0.15488,                 0.1135,                0.03749,                0.00524,                 1.3276,                 7.0114,                0.43936,                0.99719,                 1.2219,             0.00019546,             0.00019546,             0.00019546
                    109,                0.77168,                 6.1416,                0.38825,                0.72309,                 1.0188,                0.69063,                 0.7408,                0.65119,                0.41107,                0.15603,                 0.1089,                0.03514,                0.00487,                  1.328,                 7.0258,                0.44163,                  0.993,                 1.2217,              0.0001817,              0.0001817,              0.0001817
                    110,                0.76712,                 6.1476,                0.38746,                0.71498,                 1.0132,                  0.683,                0.74023,                0.65609,                0.41476,                0.13085,                  0.121,                0.03547,                0.00488,                  1.323,                 7.0134,                0.44137,                0.99141,                 1.2129,             0.00016795,             0.00016795,             0.00016795
                    111,                0.61936,                 5.4961,                0.33262,                0.60279,                0.92582,                0.69329,                0.73313,                0.64538,                0.40863,                0.12871,                 0.1181,                 0.0347,                0.00458,                  1.335,                 7.0306,                0.44017,                 1.0096,                 1.2181,              0.0001542,              0.0001542,              0.0001542
                    112,                0.60551,                  5.475,                 0.3309,                0.58695,                0.92158,                0.69167,                0.72941,                0.65002,                0.41498,                0.12579,                0.11963,                0.03736,                 0.0052,                 1.3339,                 7.0181,                0.43938,                 1.0157,                 1.2086,             0.00014044,             0.00014044,             0.00014044
                    113,                0.59868,                 5.4471,                0.33037,                0.59007,                0.91939,                0.69332,                0.72121,                0.65362,                0.41308,                0.13816,                 0.1319,                0.04101,                0.00575,                 1.3284,                 7.0175,                0.43875,                 1.0272,                 1.2039,             0.00012669,             0.00012669,             0.00012669
                    114,                0.59156,                 5.4466,                0.33143,                0.58889,                0.91951,                0.69925,                0.73466,                0.65614,                0.41463,                0.14101,                0.11963,                0.03966,                0.00595,                 1.3375,                 7.0121,                0.43795,                 1.0452,                 1.2123,             0.00011294,             0.00011294,             0.00011294
                    115,                 0.5821,                 5.4317,                0.32696,                0.57638,                0.90734,                0.70614,                0.72546,                0.65358,                 0.4118,                0.14002,                0.11503,                0.03869,                0.00561,                  1.347,                 7.0112,                0.43966,                 1.0374,                 1.2207,             9.9187e-05,             9.9187e-05,             9.9187e-05
                    116,                0.57692,                   5.43,                0.32917,                0.57539,                0.91341,                0.70411,                0.72393,                0.65216,                0.41445,                0.15382,                0.11656,                0.04273,                0.00651,                 1.3509,                 7.0086,                0.43925,                 1.0499,                 1.2241,             8.5434e-05,             8.5434e-05,             8.5434e-05
                    117,                0.58274,                 5.4186,                0.32643,                0.57584,                0.91388,                 0.7071,                0.72546,                0.65181,                0.41587,                0.14778,                0.11656,                0.04401,                0.00671,                 1.3474,                 7.0178,                0.43987,                 1.0499,                  1.222,             7.1681e-05,             7.1681e-05,             7.1681e-05
                    118,                0.56815,                 5.4227,                0.32547,                0.57085,                0.90736,                  0.701,                0.73313,                0.65331,                0.41541,                0.15706,                 0.1227,                 0.0473,                0.00712,                  1.349,                 7.0136,                0.43927,                 1.0522,                 1.2271,             5.7928e-05,             5.7928e-05,             5.7928e-05
                    119,                0.57299,                 5.4218,                0.32779,                0.57672,                0.90766,                0.68814,                0.73926,                0.65149,                0.41544,                0.14866,                0.11963,                0.04508,                0.00666,                 1.3492,                 7.0234,                0.43903,                 1.0485,                 1.2281,             4.4176e-05,             4.4176e-05,             4.4176e-05
                    120,                0.56542,                 5.4199,                0.32665,                0.57095,                0.90277,                0.69008,                 0.7362,                0.64998,                0.41253,                0.14857,                 0.1227,                0.04497,                0.00668,                 1.3534,                 7.0266,                0.43927,                 1.0541,                  1.234,             3.0423e-05,             3.0423e-05,             3.0423e-05
