                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     22,                 1.1672,                 7.3289,                0.44043,                0.97479,                 1.2023,                0.64084,                0.66718,                0.60595,                0.34883,                0.04171,                0.04141,                0.00873,                0.00139,                 1.5095,                 7.8766,                0.46971,                 1.1638,                 1.3081,              0.0013782,              0.0013782,              0.0013782
                     23,                 1.1434,                 7.2901,                0.43792,                0.96801,                 1.1855,                0.62183,                0.66076,                0.58436,                0.31712,                0.04533,                0.02607,                0.00364,                0.00044,                 1.5487,                  7.918,                0.46948,                 1.1892,                 1.3524,              0.0013644,              0.0013644,              0.0013644
                     24,                 1.1463,                 7.2956,                0.43641,                0.95882,                 1.1844,                0.68212,                 0.6714,                0.61434,                0.36182,                0.06101,                0.05368,                0.01533,                0.00275,                 1.4896,                 7.7572,                0.45792,                 1.1352,                 1.3113,              0.0013507,              0.0013507,              0.0013507
                     25,                 1.1313,                 7.2405,                 0.4346,                 0.9363,                  1.178,                0.68344,                0.68558,                0.63584,                0.37402,                0.05843,                0.04294,                0.00997,                0.00162,                 1.4847,                 7.7866,                0.45988,                 1.0752,                 1.2839,              0.0013369,              0.0013369,              0.0013369
                     26,                 1.1261,                 7.2271,                0.43159,                0.93778,                  1.182,                0.64888,                0.73466,                0.63384,                0.37266,                0.07398,                0.06135,                0.00858,                  0.001,                 1.4022,                 7.6013,                0.45797,                 1.0644,                 1.2414,              0.0013232,              0.0013232,              0.0013232
                     27,                 1.1361,                 7.2064,                0.43425,                0.94465,                 1.1825,                0.63783,                0.69632,                0.61422,                 0.3601,                0.06925,                0.06135,                0.01588,                0.00282,                 1.4624,                 7.6866,                0.45854,                 1.0811,                 1.2962,              0.0013094,              0.0013094,              0.0013094
                     28,                 1.1149,                 7.1152,                0.43249,                0.93875,                  1.176,                0.64531,                0.68252,                 0.5764,                0.31828,                0.05984,                0.04908,                0.00521,                0.00066,                 1.5192,                 7.7487,                0.45888,                 1.1198,                 1.3465,              0.0012957,              0.0012957,              0.0012957
                     29,                 1.1236,                 7.1888,                0.42899,                0.94067,                 1.1734,                0.66229,                0.67638,                0.61848,                0.35835,                0.05759,                0.05828,                 0.0088,                 0.0012,                  1.443,                 7.6843,                0.45987,                 1.1017,                 1.2568,              0.0012819,              0.0012819,              0.0012819
                     30,                 1.1019,                 7.1115,                0.43113,                0.93285,                 1.1709,                0.68365,                0.68278,                0.62838,                0.35792,                 0.0862,                0.07515,                0.01818,                0.00259,                 1.4841,                 7.6553,                 0.4648,                 1.0899,                 1.3188,              0.0012682,              0.0012682,              0.0012682
                     31,                 1.0944,                 7.0879,                0.42893,                0.92707,                 1.1631,                0.64448,                 0.6784,                0.59722,                0.34374,                0.06932,                0.06135,                0.01609,                0.00219,                 1.4731,                 7.6645,                0.45716,                 1.1115,                 1.3131,              0.0012544,              0.0012544,              0.0012544
